"GA0518_YAP_KO_D_1" "GA0518_YAP_KO_D_2" "GA0518_untreated_1" "GA0518_untreated_2" "GA0518_VT_200_1" "GA0518_VT_200_2"
"ENSG00000012822.16" 286.26 329.508 789.538 958.526 339.516 249.611
"ENSG00000012963.15" 2191.856 2389.646 1576.277 1716.687 2192.198 2187.669
"ENSG00000012983.12" 1740.28 1627.375 1019.433 1219.383 2538.004 2506.969
"ENSG00000013016.16" 1 0 0 0 4 31
"ENSG00000013275.8" 3450.731 3423.456 3533.445 3762.929 3560.159 3738.942
"ENSG00000013288.9" 207.825 212.001 533.125 650.457 901.215 925.345
"ENSG00000013293.6" 0 0 0 0 0 0
"ENSG00000013297.12" 0 0 0 1 0 14
"ENSG00000013306.16" 3731.141 3907.573 4051.246 4759.581 3537.073 3711.332
"ENSG00000013364.19" 3617.163 3787.237 2891.284 3084.875 3450.084 3716.906
"ENSG00000013374.17" 580.232 498.424 1172.251 1435.588 651.766 716.445
"ENSG00000013375.16" 2064.296 1883.918 1196.471 1231.736 1667.437 1593.907
"ENSG00000013392.8" 273.964 349.494 52.127 93.031 119.279 141.757
"ENSG00000013441.16" 1120.493 1257.166 431.169 428.969 1288.327 1257.28
"ENSG00000013503.10" 730.514 721.419 600.322 772.141 836.823 836.362
"ENSG00000013523.11" 363.205 418.985 1159.796 1355.255 419.22 476.236
"ENSG00000013561.18" 2007.88 2034.23 759.957 752.916 1369.15 1393.539
"ENSG00000013563.14" 539.958 518.776 391.538 460.224 364.759 410.034
"ENSG00000013573.17" 1043.284 1212.758 1113.674 1393.132 1414.426 1467.532
"ENSG00000013583.10" 761.218 831.642 594.519 622.828 631.826 563.916
"ENSG00000013588.9" 6581.462 7254.883 4426.119 5095.915 7938.948 8248.369
"ENSG00000013619.15" 238.088 290.013 1 0 591.511 618.567
"ENSG00000013725.14" 4 7 0 0 1 0
"ENSG00000013810.21" 3900.834 4281.146 3477.377 3810.651 4837.951 4668.218
"ENSG00000014123.10" 965.697 933.811 1034.656 1282.313 993.005 927.769
"ENSG00000014138.9" 670.928 1097.141 792.56 879.641 759.413 687.739
"ENSG00000014164.7" 432.622 433.284 618.82 612.895 453.986 535.765
"ENSG00000014216.16" 3517.418 3612.445 7812.066 8805.709 3167.897 3303.548
"ENSG00000014257.16" 0 2 109.542 116.013 0 0
"ENSG00000014641.21" 8655.922 9364.789 2923.45 3295.279 4373.868 4206.66
"ENSG00000014824.14" 1827.182 1931.277 1380.447 1470.433 2703.374 2454.454
"ENSG00000014914.21" 186.706 128.028 235.41 263.73 65.975 56
"ENSG00000014919.13" 2019.771 2096.199 1029.165 1293.915 1467.616 1601.369
"ENSG00000015133.19" 710.319 700.245 762.391 756.8 1072.596 1163.061
"ENSG00000015153.15" 686.045 614.757 293.453 330.415 422.065 391.785
"ENSG00000015171.20" 890.932 932.835 1150.239 1364.702 1816.673 1610.246
"ENSG00000015285.11" 0 0 1 4 0 7
"ENSG00000015413.9" 2 2 282.659 281.251 0 0
"ENSG00000015475.19" 1415.41 1460.861 840.785 968.469 1480.622 1246.142
"ENSG00000015479.20" 9671.535 8710.349 6621.699 8130.618 7911.197 8224.015
"ENSG00000015520.15" 0 8 20 16 0 0
"ENSG00000015532.10" 545.958 677.337 742.844 822.317 622.528 581.187
"ENSG00000015568.13" 852.74 706.597 584.581 675.884 956.065 999.967
"ENSG00000015592.16" 0 0 0 0 0 0
"ENSG00000015676.18" 1692.264 1796.29 1768.849 1953.284 1730.868 1915.627
"ENSG00000016082.15" 29 16 52 66.015 55 63.028
"ENSG00000016391.11" 110.002 136 540.552 572.394 259.614 258.71
"ENSG00000016402.14" 0 2 234.723 306.432 5 1
"ENSG00000016490.16" 0 0 0 0 0 0
"ENSG00000016602.9" 0 0 0 0 0 0
"ENSG00000016864.19" 1117.545 1356.172 630.666 738.933 1056.932 947.976
"ENSG00000017260.20" 3643.062 3602.676 3690.1 4131.845 3274.016 3093.176
"ENSG00000017427.17" 0 0 52.969 53.442 0 0
"ENSG00000017483.15" 8 14.425 6 4 12 7
"ENSG00000017797.13" 1789.368 2014.244 2156.686 2567.812 2842.642 2709.924
"ENSG00000018189.13" 202.107 245.208 367.021 418.666 413.593 358.557
"ENSG00000018236.15" 0 0 0 0 8 0
"ENSG00000018280.17" 13 0 0 5 6 2
"ENSG00000018408.15" 5227.674 5556.695 406.223 532.331 4965.245 5173.061
